sample,x0: fuel to oxidizer ratio,x1: acac amount,x2: total concentration,x3: temperature,conductance - mean,conductance - std,XRF-normalized conductance - mean,XRF-normalized conductance - std,Conductivity - mean
146,1.158239431,0.855700503,0.006712816,210.9861908,0.065824173,0.079587385,3.87E-07,1.77E-07,53.50460134
147,0.401408214,0.99303354,0.006607535,225.626709,0.019302591,0.041592062,2.18E-07,2.02E-07,30.13098028
148,0.038526384,0.364135232,0.008737093,241.0874786,0.005488329,0.034831068,2.25E-07,3.99E-07,31.05994301
149,1.226473937,0.917808046,0.007995804,221.8125305,0.015051272,0.031987583,1.71E-07,1.03E-07,23.69293336
150,2.116031348,0.797347632,0.006622863,247.3265076,0.020269349,0.034783879,2.38E-07,1.32E-07,32.88385744
151,1.272479796,0.375531898,0.010563567,229.0835724,0.032807049,0.034304228,1.69E-07,5.83E-08,23.35616074
152,0.985959328,0.199941405,0.011299847,222.4260864,0.021729884,0.032509306,1.44E-07,4.67E-08,19.97002828
153,2.267452823,0.694080313,0.006138924,276.460144,0.032184817,0.039714423,2.75E-07,1.41E-07,38.06840397
154,0.638730065,0.82753394,0.006030001,192.970932,0.010156879,0.02199123,7.47E-08,5.54E-08,10.33215636
155,1.238585401,0.247396303,0.007869394,213.1377869,0.000133226,0.000444522,2.37E-09,1.62E-09,0.327960842
156,0.85603187,0.452508648,0.006997182,213.2209167,0.051252368,0.052775312,3.19E-07,1.24E-07,44.05216798
157,2.31201592,0.518024497,0.005813199,220,0.018009122,0.019235721,1.76E-07,3.63E-08,24.27387092
158,0.476077908,0.666585271,0.011920879,260,0.020582231,0.06234928,3.22E-07,9.76E-08,44.57716087
159,2.066499485,1,0.011851456,200,0.00609905,0.014704971,7.49E-08,5.55E-08,10.34846861
160,0.580906485,0,0.005917025,220,0.064810271,0.063501373,5.25E-07,9.08E-08,72.53056063
161,1.001495917,0.128208624,0.011394504,260,0.110356047,0.083063881,3.24E-07,1.15E-07,44.81329335
162,0.545190181,0.636757395,0.011120458,200,0.000946363,0.00437345,2.44E-08,2.61E-08,3.379915038
163,1.180697057,0.838839381,0.005791497,220,0.072686707,0.08567362,4.99E-07,1.29E-07,68.99421899
164,1.929032936,1,0.011410295,260,0.002786861,0.010301205,5.12E-08,4.96E-08,7.082650146
165,0.173363655,0.019415475,0.006752834,223.2492218,0.123897594,0.482278359,2.80E-07,2.27E-07,38.64178597
166,1.240676993,0.983689658,0.007490168,207.5825958,0.02735426,0.074631706,1.82E-07,1.23E-07,25.17867775
167,0.815222645,0.79145899,0.006114038,226.4839935,0.079733759,0.094074567,4.39E-07,2.29E-07,60.74937964
168,1.38451625,0.236437727,0.006117746,221.9078979,0.030356219,0.0344244,2.84E-07,5.63E-08,39.29928217
169,1.06287814,0.421170551,0.009839549,263.5491333,0.067521808,0.069475395,3.28E-07,1.25E-07,45.33173711
170,1.050806088,0.946178012,0.009919132,268.6655273,0.012359868,0.032167043,1.33E-07,9.40E-08,18.39710703
171,1.650082928,0.481974551,0.009325549,242.2729187,0.03401121,0.026570214,1.65E-07,4.23E-08,22.81988067
172,1.631239115,0.624579003,0.009587372,204.2049408,9.65E-05,0.000463863,3.76E-09,3.04E-09,0.520203253
173,0.863633429,0.570025176,0.009101661,223.5924835,0.112622991,0.309486116,7.91E-08,1.23E-07,10.93948991
174,0.957267531,0.570380051,0.006259418,260.1452942,0.082306779,0.091555809,6.13E-07,9.37E-08,84.71950332
175,1.205141643,0.54207776,0.008186934,216.8784943,0.054882985,0.053742979,3.36E-07,8.31E-08,46.3991291
176,0.223792835,0.151306105,0.008887418,219.8462067,0.401396209,3.321478542,4.46E-08,7.36E-08,6.169459279
177,0.339312803,0.418958457,0.009331201,218.6456299,0.025544041,0.037529635,2.92E-07,1.05E-07,40.33998878
178,1.766065336,0.752594532,0.009603345,232.6373749,0.055657758,0.111052346,1.25E-07,9.77E-08,17.22904247
179,0.75303823,0.412467293,0.010677344,252.2908325,0.095930722,0.122498673,2.87E-07,8.81E-08,39.6223256
180,0.739621523,0.395902376,0.010964814,205.5094452,0.004373807,0.008256013,2.97E-08,1.91E-08,4.11198657
181,1.875913434,0.678002237,0.007298097,240.7494659,0.015270813,0.016112019,1.20E-07,5.03E-08,16.61916076
182,0.417083671,0.7184888,0.007400458,214.9920654,0.098105396,0.441323547,2.16E-07,1.88E-07,29.87045754
183,0.100708986,0.104939243,0.006850047,247.4233093,0.062954341,0.202666468,5.17E-07,1.45E-07,71.51158261
184,0.305893265,0.717317043,0.010536531,206.2652893,0.006482704,0.019694708,1.12E-07,7.98E-08,15.5317031
185,1.443325854,0.287596186,0.006983073,210.4904327,2.04E-05,0.000158437,2.06E-09,1.87E-09,0.284161046
186,0.291356777,0.585546478,0.010538602,219.0583801,0.004258778,0.014573436,1.07E-07,8.06E-08,14.84869704
187,1.438724236,0.314662047,0.008001724,224.2592773,0.018483696,0.022886203,1.27E-07,4.07E-08,17.51708428
188,0.644758978,0.964968166,0.007454771,253.4886017,0.051806918,0.096013588,3.21E-07,2.29E-07,44.3433443
189,0.864124728,0.261998142,0.006614368,267.8675537,0.059810695,0.052367876,3.85E-07,8.21E-08,53.2767013
190,0.958217788,0.791728469,0.006994205,245.9988251,0.081774834,0.087289445,5.12E-07,1.94E-07,70.7300105
191,0.825525727,0.768591581,0.006275158,212.7899933,0.0605096,0.11410921,3.86E-07,1.18E-07,53.41542254
192,1.149512135,0.882235295,0.009970764,210.9781494,0.219132838,1.619871863,1.47E-07,1.08E-07,20.25246154
193,1.474650128,0.874810907,0.010690291,241.0647278,0.001775799,0.008784126,5.35E-08,5.35E-08,7.395860785
194,0.676296824,0.572278772,0.008610881,230.3267212,0.122352398,0.338725698,2.18E-07,1.11E-07,30.19319731
195,1.170385465,0.89614078,0.005955322,226.4676819,0.094531098,0.098748267,6.92E-07,9.79E-08,95.70470404
